작업자,시험명,프레임수,금액,오브젝트 개수,오브젝트 합,월,일,주민등록번호,핸드폰,주소,계좌번호
김민서,2_20200615_212055_001740,129,249150,Object개수:   차량 _1202/ 보행자_81/  신호등_139/  표지판_64/  노면표식_95/ 노면화살표_80,1661,9,1,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_212055_007230,116,249900,Object개수:   차량 _1168/ 보행자_93/  신호등_69/  표지판_99/  노면표식_160/ 노면화살표_77,1666,9,2,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_212613_004950,134,262650,Object개수:   차량 _1222/ 보행자_119/  신호등_107/  표지판_89/  노면표식_121/ 노면화살표_93,1751,9,3,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_213132_004110,131,264300,Object개수:   차량 _1241/ 보행자_125/  신호등_129/  표지판_92/  노면표식_134/ 노면화살표_41,1762,9,6,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_213650_005160,104,251250,Object개수:   차량 _1087/ 보행자_121/  신호등_137/  표지판_81/  노면표식_111/ 노면화살표_138,1675,9,7,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_214209_002160,126,255750,Object개수:   차량 _1242/ 보행자_99/  신호등_96/  표지판_69/  노면표식_88/ 노면화살표_111,1705,9,8,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_214727_000150,115,278700,Object개수:   차량 _1369/ 보행자_93/  신호등_131/  표지판_80/  노면표식_112/ 노면화살표_73,1858,9,9,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_215244_001620,116,246300,Object개수:   차량 _1094/ 보행자_106/  신호등_106/  표지판_80/  노면표식_177/ 노면화살표_79,1642,9,10,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_215802_003300,120,251850,Object개수:   차량 _1281/ 보행자_99/  신호등_82/  표지판_94/  노면표식_91/ 노면화살표_32,1679,9,13,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_220322_001260,146,280350,Object개수:   차량 _1327/ 보행자_102/  신호등_132/  표지판_77/  노면표식_118/ 노면화살표_113,1869,9,14,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_220322_007410,141,259800,Object개수:   차량 _1193/ 보행자_118/  신호등_109/  표지판_103/  노면표식_171/ 노면화살표_38,1732,9,15,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
